Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Bahrain,Eastern Mediterranean,267882,15743.18,558,32.79,0,1380,81.1,2,0.12,0,Community transmission
Slovenia,Europe,258286,12323.62,380,18.13,88,4760,227.11,0,0,0,Clusters of cases
Republic of Moldova,Europe,258096,6398.08,508,12.59,89,6229,154.41,15,0.37,2,Community transmission
Myanmar,South-East Asia,246663,453.34,38306,70.4,6093,5814,10.69,1633,3,247,Clusters of cases
Armenia,Europe,227936,7692.14,1176,39.69,220,4573,154.32,20,0.67,1,Community transmission
Libya,Eastern Mediterranean,224920,3273.33,18151,264.16,3425,3299,48.01,56,0.81,18,Community transmission
Qatar,Eastern Mediterranean,224278,7784.58,774,26.87,0,599,20.79,0,0,0,Community transmission
Bosnia and Herzegovina,Europe,205340,6258.81,126,3.84,27,9669,294.71,6,0.18,0,Community transmission
Kenya,Africa,193807,360.43,4104,7.63,618,3800,7.07,68,0.13,17,Community transmission
Zambia,Africa,187602,1020.47,8854,48.16,1323,3138,17.07,234,1.27,25,Community transmission
Republic of Korea,Western Pacific,182265,355.51,10354,20.2,1784,2060,4.02,12,0.02,1,Clusters of cases
Nigeria,Africa,169884,82.41,1017,0.49,206,2128,1.03,3,0,0,Community transmission
North Macedonia,Europe,155951,7485.48,128,6.14,20,5488,263.42,1,0.05,1,Sporadic cases
Algeria,Africa,154486,352.3,6603,15.06,0,3956,9.02,89,0.2,0,Community transmission
Kyrgyzstan,Europe,152709,2340.66,9041,138.58,1102,2205,33.8,72,1.1,9,Clusters of cases
Mongolia,Western Pacific,151230,4613.08,10700,326.39,1497,749,22.85,50,1.53,9,Clusters of cases
Afghanistan,Eastern Mediterranean,142414,365.84,6525,16.76,925,6266,16.1,417,1.07,53,Community transmission
Puerto Rico,Americas,142093,4966.81,1149,40.16,188,2562,89.55,7,0.24,1,Community transmission
Latvia,Europe,138238,7246.41,268,14.05,54,2547,133.51,9,0.47,4,Community transmission
Norway,Europe,134775,2510.91,1228,22.88,243,799,14.89,3,0.06,3,Clusters of cases
Albania,Europe,132740,4612.55,132,4.59,43,2456,85.34,0,0,0,Clusters of cases
Estonia,Europe,132059,9936.9,441,33.18,96,1271,95.64,1,0.08,0,Clusters of cases
Uzbekistan,Europe,121329,362.51,3920,11.71,698,809,2.42,28,0.08,4,Clusters of cases
China,Western Pacific,119837,8.15,410,0.03,53,5621,0.38,26,0,4,Clusters of cases
Namibia,Africa,113438,4464.47,4653,183.12,614,2557,100.63,317,12.48,25,Community transmission
Kosovo[1],Europe,107878,6007.69,54,3.01,15,2255,125.58,1,0.06,1,Community transmission
Mozambique,Africa,102009,326.37,10123,32.39,1224,1158,3.7,145,0.46,20,Community transmission
Finland,Europe,100773,1823.85,1885,34.12,461,978,17.7,2,0.04,0,Clusters of cases
Montenegro,Europe,100744,16040.45,188,29.93,0,1623,258.41,2,0.32,0,Clusters of cases
Ghana,Africa,99734,320.97,2006,6.46,574,817,2.63,15,0.05,2,Community transmission
Cyprus,Europe,93247,10500.73,7062,795.27,995,391,44.03,9,1.01,1,Clusters of cases
Botswana,Africa,91902,3908.02,11749,499.61,0,1328,56.47,75,3.19,0,Community transmission
Uganda,Africa,90910,198.75,2716,5.94,254,2412,5.27,248,0.54,20,Community transmission
Zimbabwe,Africa,88415,594.87,15144,101.89,2683,2747,18.48,473,3.18,50,Community transmission
El Salvador,Americas,82852,1277.36,1208,18.62,0,2508,38.67,51,0.79,9,Community transmission
Cameroon,Africa,81467,306.89,609,2.29,0,1330,5.01,6,0.02,0,Community transmission
Maldives,South-East Asia,76188,14094.69,783,144.85,0,217,40.14,3,0.55,0,Clusters of cases
Luxembourg,Europe,73074,11671.15,683,109.09,89,821,131.13,2,0.32,0,Community transmission
Cambodia,Western Pacific,68796,411.48,6096,36.46,825,1149,6.87,196,1.17,21,Sporadic cases
Viet Nam,Western Pacific,65607,67.4,30198,31.02,5427,334,0.34,140,0.14,80,Clusters of cases
Singapore,Western Pacific,63440,1084.38,696,11.9,195,36,0.62,0,0,0,Sporadic cases
Rwanda,Africa,59141,456.61,9333,72.06,906,677,5.23,79,0.61,11,Community transmission
Senegal,Africa,53573,319.95,6710,40.07,902,1236,7.38,35,0.21,9,Community transmission
Jamaica,Americas,51282,1731.82,489,16.51,62,1158,39.11,24,0.81,1,Community transmission
Côte d’Ivoire,Africa,49288,186.85,385,1.46,69,322,1.22,3,0.01,0,Community transmission
Democratic Republic of the Congo,Africa,46725,52.17,2213,2.47,369,1018,1.14,34,0.04,0,Community transmission
Malawi,Africa,44684,233.58,4752,24.84,867,1363,7.12,99,0.52,11,Community transmission
Madagascar,Africa,42621,153.92,104,0.38,13,941,3.4,5,0.02,0,Community transmission
Angola,Africa,41061,124.93,923,2.81,155,970,2.95,29,0.09,1,Community transmission
Sudan,Eastern Mediterranean,37138,84.69,152,0.35,0,2776,6.33,2,0,0,Clusters of cases
Trinidad and Tobago,Americas,36198,2586.52,1376,98.32,181,998,71.31,57,4.07,6,Community transmission
Réunion,Africa,34615,3866.25,1320,147.43,1320,266,29.71,10,1.12,10,Community transmission
Cabo Verde,Africa,33356,5999.42,303,54.5,19,296,53.24,6,1.08,1,Community transmission
Malta,Europe,32833,6380.74,1439,279.65,217,420,81.62,0,0,0,Clusters of cases
Australia,Western Pacific,32129,126,806,3.16,112,915,3.59,3,0.01,1,Clusters of cases
French Guiana,Americas,29133,9753.85,579,193.85,138,169,56.58,6,2.01,2,Community transmission
Syrian Arab Republic,Eastern Mediterranean,25834,147.62,39,0.22,0,1905,10.89,6,0.03,0,Community transmission
Gabon,Africa,25283,1135.94,85,3.82,0,163,7.32,1,0.04,0,Community transmission
Guinea,Africa,24765,188.57,592,4.51,54,194,1.48,14,0.11,4,Community transmission
Suriname,Americas,24312,4144.34,849,144.72,40,614,104.67,27,4.6,3,Community transmission
Mauritania,Africa,22929,493.13,1027,22.09,176,512,11.01,16,0.34,1,Community transmission
Guyana,Americas,21606,2746.93,604,76.79,44,513,65.22,16,2.03,1,Community transmission
Eswatini,Africa,21496,1852.84,1216,104.81,253,727,62.66,31,2.67,8,Community transmission
Haiti,Americas,19563,171.57,16,0.14,0,510,4.47,2,0.02,0,Community transmission
Mayotte,Africa,19460,7133.04,10,3.67,0,174,63.78,0,0,0,Community transmission
Fiji,Western Pacific,19352,2158.75,7320,816.56,1054,125,13.94,66,7.36,12,Sporadic cases
French Polynesia,Western Pacific,19163,6821.81,121,43.07,36,144,51.26,0,0,0,Sporadic cases
Guadeloupe,Americas,17982,4494.11,173,43.24,0,278,69.48,4,1,0,Community transmission
Seychelles,Africa,17541,17835.83,445,452.48,0,79,80.33,11,11.18,0,Community transmission
Papua New Guinea,Western Pacific,17524,195.86,157,1.75,60,192,2.15,13,0.15,5,Community transmission
Somalia,Eastern Mediterranean,15123,95.15,63,0.4,0,781,4.91,2,0.01,0,Community transmission
Martinique,Americas,14964,3987.58,2157,574.79,0,102,27.18,4,1.07,0,Community transmission
Togo,Africa,14769,178.4,449,5.42,89,140,1.69,6,0.07,2,Community transmission
Tajikistan,Europe,14630,153.39,264,2.77,0,115,1.21,5,0.05,0,Pending
Mali,Africa,14523,71.72,36,0.18,9,530,2.62,2,0.01,0,Community transmission
Andorra,Europe,14379,18609.98,212,274.38,20,127,164.37,0,0,0,Community transmission
Belize,Americas,13772,3463.54,211,53.06,89,332,83.5,1,0.25,0,Community transmission
Bahamas,Americas,13604,3459.43,371,94.34,0,274,69.68,20,5.09,0,Clusters of cases
Burkina Faso,Africa,13537,64.76,14,0.07,1,169,0.81,1,0,0,Community transmission
Congo,Africa,13050,236.5,260,4.71,0,176,3.19,9,0.16,0,Community transmission
Curaçao,Americas,12804,7802.89,409,249.25,29,126,76.79,0,0,0,Community transmission
Lesotho,Africa,12398,578.74,247,11.53,0,339,15.82,1,0.05,0,Community transmission
Djibouti,Eastern Mediterranean,11627,1176.82,6,0.61,0,155,15.69,0,0,0,Clusters of cases
Aruba,Americas,11234,10522.08,57,53.39,0,108,101.16,1,0.94,0,Community transmission
South Sudan,Africa,10917,97.53,0,0,0,117,1.05,0,0,0,Community transmission
Timor-Leste,South-East Asia,10205,774.02,245,18.58,31,26,1.97,1,0.08,0,Community transmission
Equatorial Guinea,Africa,8848,630.66,33,2.35,0,123,8.77,1,0.07,0,Community transmission
Benin,Africa,8244,68,0,0,0,107,0.88,0,0,0,Community transmission
Guam,Western Pacific,8217,4868.61,18,10.67,7,143,84.73,1,0.59,0,Clusters of cases
Nicaragua,Americas,7313,110.39,269,4.06,269,194,2.93,1,0.02,1,Community transmission
Gambia,Africa,7161,296.32,747,30.91,241,197,8.15,12,0.5,7,Community transmission
Central African Republic,Africa,7147,147.98,5,0.1,0,98,2.03,0,0,0,Community transmission
Yemen,Eastern Mediterranean,6987,23.43,35,0.12,6,1370,4.59,4,0.01,2,Community transmission
Iceland,Europe,6897,1894.08,222,60.97,65,30,8.24,0,0,0,Community transmission
Jersey,Europe,6563,6088.35,1758,1630.86,839,69,64.01,0,0,0,Community transmission
Eritrea,Africa,6450,181.87,123,3.47,8,32,0.9,2,0.06,0,Community transmission
Sierra Leone,Africa,6198,77.7,124,1.55,7,116,1.45,3,0.04,1,Community transmission
Burundi,Africa,5996,50.43,273,2.3,54,8,0.07,0,0,0,Community transmission
Niger,Africa,5594,23.11,48,0.2,4,194,0.8,0,0,0,Community transmission
Saint Lucia,Americas,5481,2984.86,65,35.4,0,87,47.38,1,0.54,0,Community transmission
Liberia,Africa,5396,106.69,181,3.58,0,148,2.93,4,0.08,0,Community transmission
San Marino,Europe,5102,15033.3,8,23.57,0,90,265.19,0,0,0,Community transmission
Chad,Africa,4965,30.23,11,0.07,1,174,1.06,0,0,0,Community transmission
Gibraltar,Europe,4628,13736.61,191,566.92,33,94,279.01,0,0,0,Clusters of cases
Barbados,Americas,4269,1485.52,83,28.88,11,48,16.7,0,0,0,Community transmission
United States Virgin Islands,Americas,4215,4036.39,172,164.71,29,32,30.64,0,0,0,Community transmission
Guinea-Bissau,Africa,4087,207.67,126,6.4,35,73,3.71,3,0.15,0,Community transmission
Comoros,Africa,4081,469.3,10,1.15,0,147,16.9,1,0.11,0,Community transmission
Lao People's Democratic Republic,Western Pacific,3710,50.99,809,11.12,170,5,0.07,2,0.03,0,Sporadic cases
Liechtenstein,Europe,3167,8173.54,12,30.97,0,58,149.69,0,0,0,Sporadic cases
Mauritius,Africa,3120,245.33,796,62.59,389,19,1.49,1,0.08,0,Community transmission
Monaco,Europe,2717,6923.35,77,196.21,24,33,84.09,0,0,0,Sporadic cases
Sint Maarten,Americas,2677,6242.71,36,83.95,13,34,79.29,0,0,0,Community transmission
Bermuda,Americas,2534,4069.18,13,20.88,2,33,52.99,0,0,0,Sporadic cases
Saint Martin,Americas,2523,6526.29,51,131.92,0,30,77.6,0,0,0,Community transmission
New Zealand,Western Pacific,2472,51.26,39,0.81,6,26,0.54,0,0,0,Sporadic cases
Bhutan,South-East Asia,2456,318.3,86,11.15,1,2,0.26,1,0.13,0,Clusters of cases
Turks and Caicos Islands,Americas,2455,6340.72,19,49.07,0,18,46.49,0,0,0,Clusters of cases
Sao Tome and Principe,Africa,2413,1101.03,21,9.58,3,37,16.88,0,0,0,Community transmission
Isle of Man,Europe,2381,2800.12,667,784.41,448,29,34.1,0,0,0,No cases
Saint Vincent and the Grenadines,Americas,2263,2039.84,18,16.22,0,12,10.82,0,0,0,Community transmission
British Virgin Islands,Americas,2024,6693.79,877,2900.42,0,17,56.22,14,46.3,0,Community transmission
Bonaire,Americas,1656,7917.76,22,105.19,4,17,81.28,0,0,0,Community transmission
Antigua and Barbuda,Americas,1275,1301.96,9,9.19,7,42,42.89,0,0,0,Clusters of cases
Saint Barthélemy,Americas,1057,10692.97,5,50.58,0,1,10.12,0,0,0,Clusters of cases
Faroe Islands,Europe,941,1925.71,50,102.32,0,1,2.05,0,0,0,Sporadic cases
Guernsey,Europe,899,1394.49,42,65.15,5,17,26.37,0,0,0,Community transmission
Other,Other,764,,0,,0,13,,0,,0,Not applicable
Cayman Islands,Americas,625,951,6,9.13,3,2,3.04,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,554,1041.51,16,30.08,4,3,5.64,0,0,0,Community transmission
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,309,70.63,27,6.17,4,3,0.69,0,0,0,Sporadic cases
Dominica,Americas,206,286.15,7,9.72,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,188,326.63,1,1.74,0,2,3.47,0,0,0,Pending
Grenada,Americas,164,145.75,2,1.78,1,1,0.89,0,0,0,Sporadic cases
New Caledonia,Western Pacific,131,45.88,2,0.7,2,0,0,0,0,0,Sporadic cases
Anguilla,Americas,113,753.23,2,13.33,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,83,146.2,19,33.47,0,0,0,0,0,0,No cases
Falkland Islands (Malvinas),Americas,60,1722.65,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,26,448.66,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,21,420.08,0,0,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Saba,Americas,7,362.13,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
